MS,Task,Team,Status
urn:cite:hmt:codices.msA,codex model,ancient,complete
urn:cite:hmt:codices.msB,codex model,ancient,complete
urn:cite:hmt:codices.u4,codex model,ancient,complete
urn:cite:hmt:codices.villoison,codex model,,
urn:cite:hmt:codices.e3,codex model,ancient,complete
urn:cite:hmt:codices.e4,codex model,ancient,complete
urn:cite:hmt:codices.comp,codex model,ancient,complete
urn:cite:hmt:codices.gen44,codex model,,
urn:cite:hmt:codices.bod85,codex model,,
urn:cite:hmt:codices.vgf64,codex model,,
urn:cite:hmt:codices.msA,iliad index,ancient,complete
urn:cite:hmt:codices.msB,iliad index,ancient,complete
urn:cite:hmt:codices.u4,iliad index,ancient,complete
urn:cite:hmt:codices.villoison,iliad index,,
urn:cite:hmt:codices.e3,iliad index,ancient,complete
urn:cite:hmt:codices.e4,iliad index,,
urn:cite:hmt:codices.comp,iliad index,,
urn:cite:hmt:codices.gen44,iliad index,,
urn:cite:hmt:codices.bod85,iliad index,,
urn:cite:hmt:codices.vgf64,iliad index,,
urn:cite:hmt:codices.msA,page zones,,
urn:cite:hmt:codices.msB,page zones,,
urn:cite:hmt:codices.u4,page zones,,
urn:cite:hmt:codices.villoison,page zones,,
urn:cite:hmt:codices.e3,page zones,,
urn:cite:hmt:codices.e4,page zones,,
urn:cite:hmt:codices.comp,page zones,,
urn:cite:hmt:codices.gen44,page zones,,
urn:cite:hmt:codices.bod85,page zones,,
urn:cite:hmt:codices.vgf64,page zones,,

